2,0,120,317,180,115,1,1,1,1
2,1,335,345,90,60,1,1,1,1
2,2,500,337,60,45,1,1,1,1
2,3,680,337,280,65,1,1,1,1
2,4,912,347,55,45,1,1,1,1
3,0,119,317,180,115,1,1,1,1
3,1,334,345,90,60,1,1,1,1
3,2,499,337,60,45,1,1,1,1
3,3,679,337,280,65,1,1,1,1
3,4,912,347,55,45,1,1,1,1
4,0,119,317,180,115,1,1,1,1
4,1,334,345,90,60,1,1,1,1
4,2,499,337,60,45,1,1,1,1
4,3,679,337,280,65,1,1,1,1
4,4,912,347,55,45,1,1,1,1
5,0,119,317,180,115,1,1,1,1
5,1,334,345,90,60,1,1,1,1
5,2,499,337,60,45,1,1,1,1
5,3,679,337,280,65,1,1,1,1
5,4,912,347,55,45,1,1,1,1
6,0,119,317,180,115,1,1,1,1
6,1,334,345,90,60,1,1,1,1
6,2,499,337,60,45,1,1,1,1
6,3,679,337,280,65,1,1,1,1
6,4,912,347,55,45,1,1,1,1
7,0,119,317,180,115,1,1,1,1
7,1,334,345,90,60,1,1,1,1
7,2,499,337,60,45,1,1,1,1
7,3,679,337,280,65,1,1,1,1
7,4,912,347,55,45,1,1,1,1
8,0,119,317,180,115,1,1,1,1
8,1,334,345,90,60,1,1,1,1
8,2,499,337,60,45,1,1,1,1
8,3,679,337,280,65,1,1,1,1
8,4,912,347,55,45,1,1,1,1
9,0,119,317,180,115,1,1,1,1
9,1,334,345,90,60,1,1,1,1
9,2,499,337,60,45,1,1,1,1
9,3,679,337,280,65,1,1,1,1
9,4,912,347,55,45,1,1,1,1
10,0,119,317,180,115,1,1,1,1
10,1,334,345,90,60,1,1,1,1
10,2,499,337,60,45,1,1,1,1
10,3,679,337,280,65,1,1,1,1
10,4,912,347,55,45,1,1,1,1
11,0,119,317,180,115,1,1,1,1
11,1,334,345,90,60,1,1,1,1
11,2,499,337,60,45,1,1,1,1
11,3,679,337,280,65,1,1,1,1
11,4,912,347,55,45,1,1,1,1
12,0,119,317,180,115,1,1,1,1
12,1,334,345,90,60,1,1,1,1
12,2,499,337,60,45,1,1,1,1
12,3,679,337,280,65,1,1,1,1
12,4,912,347,55,45,1,1,1,1
13,0,119,317,180,115,1,1,1,1
13,1,334,345,90,60,1,1,1,1
13,2,499,337,60,45,1,1,1,1
13,3,679,337,280,65,1,1,1,1
13,4,911,347,55,45,1,1,1,1
14,0,119,317,180,115,1,1,1,1
14,1,334,345,90,60,1,1,1,1
14,2,499,337,60,45,1,1,1,1
14,3,679,337,280,65,1,1,1,1
14,4,911,347,55,45,1,1,1,1
15,0,119,317,180,115,1,1,1,1
15,1,334,345,90,60,1,1,1,1
15,2,499,337,60,45,1,1,1,1
15,3,679,337,280,65,1,1,1,1
15,4,911,347,55,45,1,1,1,1
16,0,119,317,180,115,1,1,1,1
16,1,334,345,90,60,1,1,1,1
16,2,499,337,60,45,1,1,1,1
16,3,679,337,280,65,1,1,1,1
16,4,911,347,55,45,1,1,1,1
17,0,119,317,180,115,1,1,1,1
17,1,334,345,90,60,1,1,1,1
17,2,499,337,60,45,1,1,1,1
17,3,679,337,280,65,1,1,1,1
17,4,911,347,55,45,1,1,1,1
18,0,118,317,180,115,1,1,1,1
18,1,334,345,90,60,1,1,1,1
18,2,499,337,60,45,1,1,1,1
18,3,679,337,280,65,1,1,1,1
18,4,911,347,55,45,1,1,1,1
19,0,118,317,180,115,1,1,1,1
19,1,334,345,90,60,1,1,1,1
19,2,499,337,60,45,1,1,1,1
19,3,679,337,280,65,1,1,1,1
19,4,911,347,55,45,1,1,1,1
20,0,118,317,180,115,1,1,1,1
20,1,334,345,90,60,1,1,1,1
20,2,499,337,60,45,1,1,1,1
20,3,679,337,280,65,1,1,1,1
20,4,911,347,55,45,1,1,1,1
21,0,118,317,180,115,1,1,1,1
21,1,334,345,90,60,1,1,1,1
21,2,499,337,60,45,1,1,1,1
21,3,679,337,280,65,1,1,1,1
21,4,911,347,55,45,1,1,1,1
22,0,118,317,180,115,1,1,1,1
22,1,334,345,90,60,1,1,1,1
22,2,499,337,60,45,1,1,1,1
